Genes	Modules
2534	ENSG00000177556	darkmagenta
2535	ENSG00000177565	black
2536	ENSG00000177600	blue
2537	ENSG00000177606	lightyellow
2538	ENSG00000177663	darkmagenta
2539	ENSG00000177666	darkorange
2540	ENSG00000177697	cyan
2541	ENSG00000177700	cyan
2542	ENSG00000177733	brown
2543	ENSG00000177738	darkmagenta
2544	ENSG00000177879	black
2545	ENSG00000177885	darkmagenta
2546	ENSG00000177889	darkturquoise
2547	ENSG00000177954	black
2548	ENSG00000177963	grey
2549	ENSG00000178031	grey
2550	ENSG00000178104	steelblue
2551	ENSG00000178202	black
2552	ENSG00000178209	green
2553	ENSG00000178685	midnightblue
2554	ENSG00000178695	brown
2555	ENSG00000178719	darkorange
2556	ENSG00000178741	blue
2557	ENSG00000178913	black
2558	ENSG00000178951	darkmagenta
2559	ENSG00000178952	lightgreen
2560	ENSG00000178980	blue
2561	ENSG00000179010	blue
2562	ENSG00000179134	darkorange
2563	ENSG00000179195	black
2564	ENSG00000179218	steelblue
2565	ENSG00000179222	green
2566	ENSG00000179271	darkmagenta
2567	ENSG00000179295	black
2568	ENSG00000179630	black
2569	ENSG00000179820	darkmagenta
2570	ENSG00000179954	darkorange
2571	ENSG00000180155	darkorange
2572	ENSG00000180304	pink
2573	ENSG00000180398	darkturquoise
2574	ENSG00000180447	pink
2575	ENSG00000180801	darkmagenta
2576	ENSG00000180806	darkmagenta
2577	ENSG00000180817	darkturquoise
2578	ENSG00000180818	darkmagenta
2579	ENSG00000180875	darkmagenta
2580	ENSG00000180879	blue
2581	ENSG00000180957	black
2582	ENSG00000180964	darkturquoise
2583	ENSG00000180992	blue
2584	ENSG00000181019	blue
2585	ENSG00000181163	black
2586	ENSG00000181195	steelblue
2587	ENSG00000181458	black
2588	ENSG00000181610	darkturquoise
2589	ENSG00000181722	darkmagenta
2590	ENSG00000181789	brown
2591	ENSG00000181924	blue
2592	ENSG00000182004	darkturquoise
2593	ENSG00000182095	green
2594	ENSG00000182158	black
2595	ENSG00000182179	midnightblue
2596	ENSG00000182197	blue
2597	ENSG00000182199	greenyellow
2598	ENSG00000182220	black
2599	ENSG00000182326	green
2600	ENSG00000182481	darkturquoise
2601	ENSG00000182492	grey
2602	ENSG00000182534	darkmagenta
2603	ENSG00000182606	darkmagenta
2604	ENSG00000182667	darkmagenta
2605	ENSG00000182670	black
2606	ENSG00000182704	pink
2607	ENSG00000182718	blue
2608	ENSG00000182752	darkmagenta
2609	ENSG00000182809	lightgreen
2610	ENSG00000182827	darkmagenta
2611	ENSG00000182899	blue
2612	ENSG00000182934	black
2613	ENSG00000183087	grey
2614	ENSG00000183098	brown
2615	ENSG00000183160	brown
2616	ENSG00000183207	greenyellow
2617	ENSG00000183255	lightyellow
2618	ENSG00000183283	black
2619	ENSG00000183287	white
2620	ENSG00000183291	darkturquoise
2621	ENSG00000183431	midnightblue
2622	ENSG00000183527	darkturquoise
2623	ENSG00000183576	darkturquoise
2624	ENSG00000183648	blue
2625	ENSG00000183722	darkturquoise
2626	ENSG00000183726	darkturquoise
2627	ENSG00000183741	darkorange
2628	ENSG00000183853	brown
2629	ENSG00000183864	darkorange
2630	ENSG00000183963	lightgreen
2631	ENSG00000183978	blue
2632	ENSG00000184007	darkturquoise
2633	ENSG00000184014	black
